课程名称	学时	学分
海商法	48	3
军事理论	32	2
军训	112	2
计算机伦理学	32	2
自然语言处理	48	3
计算理论	48	3
视觉定位与感知	32	2
钢结构设计	32	2
英语视听说（4）	64	4
动物解剖学	32	2
植物学实验	32	1
植物学	48	3
土木工程测试技术与实践	32	1
数理方法	48	3
体育（3）	32	1
德语文学导论	32	2
电介质物理及功能材料应用	32	2
生物工程单元操作原理（2）	32	2
应用生物信息学	32	2
日语口译（1）	32	2
输变电设备智能化状态预测与检修决策	32	2
汉语写作（B类）（3）	32	2
环境微生物学	48	3
经济学原理	64	4
动物解剖学实验	32	1
动物免疫学	32	2
建筑设计及原理（2-1）	128	8
诊断学	32	2
机器人学	32	2
中国古代文学（1）	32	2
塑性成形解析方法与计算机仿真	48	3
开源与建模	48	3
设计管理	32	2
专业实习(工业工程)	96	3
半导体物理	48	3
环境评价	32	2
环境土壤学	32	2
现代感知技术	32	2
风景园林工程	64	4
刑法总论	64	4
模型制作	32	2
食品化学	32	2
电子电路	56	4
商务汉语综合（1）	64	4
桥梁工程	32	2
毕业实习	32	1
环境监测与水资源综合实验	48	1.5
果树学	32	2
图像处理与内容分析	32	2
混凝土结构基本原理	64	4
钢结构课程设计	32	1
大气污染控制工程课程设计	32	1
高分子化学与物理	48	3
职业道德与工程规范	28	2
大学物理实验（2）	24	1
风景园林简史	32	2
智能与生物医用材料课程设计	32	1
系统设计与开发大型课程设计（数字媒体）	48	3
防灾工程学导论	32	2
密码学与信息安全基础	48	3
环境材料	32	2
食品分析	32	2
信息安全的数学基础（1）	48	3
公共组织行为学	48	3
隧道与地下工程课程设计	32	1
植物保护概论	32	2
经济学原理（A类）	64	4
德语文学专题	32	2
工业工程综合实验	32	2
计算结构生物学	32	2
中国现代诗歌导读	32	2
生物反应与过程工程	32	2
半导体智能材料与器件	32	2
材料连接工程学课程设计	32	1
口译（2）	32	2
自动控制原理B	48	3
传输与交换光子学	32	2
决策理论与方法	32	2
测试原理与技术	48	3
分子生物学	32	2
医疗诊断前沿技术与创新应用	32	2
数字信号处理（A类）	48	3
移动互联网	64	4
物理化学实验	64	2
遥感与地理信息系统技术与应用	32	2
集成电路工艺技术基础（A类）	32	2
新媒体与社会	32	2
语言测试	32	2
英语文学经典选读	32	2
物理研究实践V	16	1
劳动经济学	32	2
光电子信息导论	48	3
核技术与应用	32	2
古典文献学	32	2
固体废物资源化技术	32	2
工程实践与科技创新III-I	32	2
信息与编码原理	32	2
翻译史	32	2
工程力学实验	16	1
管理学原理（D类）	48	3
日语二外（1）	64	4
行政诉讼法	32	2
工程材料	48	3
环境规划与管理	32	2
计算通信理论	32	2
英语视听说（3）	64	4
建筑设计及原理（3-1）	128	8
行政法原理	48	3
当代建筑与思潮	32	2
数理金融	48	3
材料物理	64	4
陶瓷基复合材料	32	2
核燃料循环	32	2
汽车工程	42	3
JAVA语言	32	2
初等数论	48	3
工程实践与科技创新Ⅲ-C	32	2
西方艺术史概论	32	2
变电站电气部分课程设计	64	2
高分子流变学	32	2
工程流体力学（B类）	48	3
固体力学与结构	48	3
财税法	32	2
专业实习(机械动力类)	96	3
植物生殖生物学	32	2
研讨课I	48	3
软件工程	48	3
德汉互译（笔译）	32	2
理论力学	64	4
飞行控制	48	3
建筑设备	32	2
民事诉讼法	64	4
日语泛读（5）	32	2
线性代数和微分方程B	56	4
专业实习（法学）	160	10
基于微处理器的系统设计	56	4
国际服务贸易	32	2
数字通信信号与系统	56	4
系统设计与实现	56	4
卫星导航	48	3
生物信息学（C类）	48	3
应用计量经济学	48	3
设计studio	128	8
线性代数和微分方程A	56	4
产业组织理论（A类）	48	3
中国现当代文学	32	2
流体力学（J类）	42	3
计算机系统结构（A类）	48	3
基础工业工程	48	3
生态学	32	2
分析力学	64	4
概率与统计	48	3
微波技术	48	3
半导体器件导论	56	4
中级法语语法	32	2
系统模型、分析与控制(A类)	68	4
射电天体物理	48	3
科技写作与交流	14	1
德国文化	48	3
实验一	56	4
设计与制造（3）	56	4
自动控制（J类）	42	3
语言习得	32	2
法语二外(3)	64	4
公司法	32	2
环境行为心理学	32	2
药物合成反应	32	2
生态建筑概论	32	2
公共部门人力资源管理	48	3
文学概论	32	2
环境经济学	32	2
金属基复合材料	32	2
动力系统	48	3
当代话题	32	2
计算机视觉	32	2
数据结构与算法（J类）	56	4
制造实践(B类)	64	2
工程学导论	48	3
概率统计	48	3
智能医疗与创新	32	2
固体力学	56	4
工程实践与科技创新Ⅲ-A（卓工）	64	2
中国经济与政治	32	2
功能基因组学	32	2
物理学研究导论	32	2
日语视听说（6）	32	2
土壤化学	32	2
管理学基础	48	3
复合材料	48	3
失效分析	32	2
核反应堆物理	48	3
数据科学基础	48	3
能源互联网规划、运行与交易基础	32	2
药剂学	48	3
营养与饲料综合实验	32	1
法语二外（1）	64	4
农业生态学	32	2
侵权法	32	2
核工程管理	32	2
材料连接结构及工程设计	32	2
计算机网络（D类）	48	3
人因工程	48	3
汉英笔译（2）	32	2
外国建筑历史与理论	32	2
天体物理中的辐射机制	48	3
食品生物技术	32	2
数字图像处理基础	32	2
语音与音系	32	2
国际经济法	32	2
农业资源与环境导论	32	2
德语词汇学	32	2
生物信息学综合实验	64	2
生物医学信号与系统（2）	32	2
现代生物前沿科学进展	32	2
代谢工程	32	2
中级宏观经济学	48	3
电子技术实验	32	2
无机合成	32	2
日语精读（3）	128	8
区域经济学	48	3
演讲与口才	32	2
建筑文化	32	2
实验经济学	32	2
材料制造数字化技术基础	64	4
硬件描述语言与系统仿真	32	2
媒体智能高级专题	32	2
生产计划与控制	48	3
生产系统建模与仿真	48	3
德语视听说（2）	32	2
程序设计与数据结构	64	4
组织行为学	32	2
电机的DSP控制课程设计	64	2
优化算法设计	32	2
网络安全攻防实战技术	32	2
汉语综合课（3）	96	6
表观遗传学	32	2
设施园艺学	32	2
马克思主义基本原理	48	3
建筑物理（1）	32	2
问题求解指导(1)	48	3
土壤污染控制及修复工程	32	2
现代汉语读写	32	2
材料性能（1－力学性能）	32	2
反应工程原理	48	3
经贸写作	32	2
汉字与中国文化	32	2
物权法	48	3
法律职业伦理	32	2
商法	48	3
经贸口语（1）	32	2
大气污染控制工程	48	3
法律英语	32	2
德语写作（1）	32	2
功能金属材料	32	2
工程实践与科技创新Ⅳ-C	32	2
工程实践与科技创新Ⅳ-G	32	2
二十世纪中国文学思潮	32	2
工程实践与科技创新Ⅳ-F	32	2
竞争法	32	2
数字集成电路设计	64	4
日语报刊选读（2）	32	2
数字图像处理与模式分析	64	4
工程流体力学（A类）	48	3
环境科学实验	32	1
语言学前沿	32	2
材料力学行为	48	3
国际贸易实务	48	3
复合材料课程设计	32	1
金融建模及其R软件实例分析	32	2
临床诊疗用智能材料和技术	48	3
证券与期货法	32	2
环境微生物学实验	32	1
振动理论	48	3
化学计算与建模	64	3
金融法	32	2
汉语写作（A类）（1）	32	2
连接质量检测与控制	32	2
化学综合实验（2）	32	1
建筑史纲	32	2
科研能力培养（3）	32	1
工程实践与科技创新Ⅲ-D	32	2
量子力学Ⅰ	80	5
食品毒理学	32	2
基因工程	32	2
光电显示技术	32	2
食品营养学	48	3
水文学与水文地质学	32	2
产品信息架构	32	2
射频电路设计	32	2
中级微观经济学	64	4
食品工厂设计	48	3
食品工艺学实验	64	2
英语读写（5）	32	2
概率论	64	4
古建营造	32	2
科研能力培养（1）	32	1
日语精读（5）	96	6
药理学	48	3
外国法律思想史	32	2
生药学	32	2
中国文化史	32	2
计算机系统工程	64	4
外科学	48	3
智能天线与多维阵列	32	2
内科学	48	3
德语视听说（3）	32	2
天体物理概论	48	3
模式识别导论	32	2
电化学原理	48	3
自动控制原理（B类）	48	3
区块链技术及其在能源互联网的应用	32	2
德语二外(3)	64	4
水处理工程	48	3
人工智能理论及应用	48	3
电气设备综合实验	64	2
动物病理学	32	2
航空经济学	32	2
数字光通信系统	32	2
植物合成生物学	32	2
问题求解与实践	48	3
高压数字测量系统课程设计	64	2
当代艺术原理	32	2
物理学引论（荣誉）I	80	5
知识产权法（A类）	48	3
航天器控制	48	3
网络智能优化	32	2
网络安全防御技术	32	2
配位化学	32	2
工程实践与科技创新Ⅲ-A	64	2
动物微生物学	32	2
区域景观规划	64	4
复变函数	32	2
化工热力学	48	3
分子生物学实验	32	1
大学物理（荣誉）（2）	80	5
生物统计与试验设计	48	2.5
社会调查与创新实践	48	3
城市经济学	32	2
海洋科学导论	64	4
美学原典导读	32	2
智能系统设计与实践	32	2
聚合物基复合材料	32	2
编译原理与技术	64	4
学术写作	16	1
英汉笔译（2）	32	2
信号与系统（B类）	48	3
模具智能化设计与制造	32	2
用户调研	32	2
统计与数据科学的计算方法	64	4
日语视听说（3）	32	2
信息安全综合实践（2）	32	2
中国现当代文学经典选读	32	2
安全开发模型及安全编程	32	2
设计工坊与数字艺术实验	32	2
计算机通信网络（A）	32	2
工程力学	48	3
算法（计算）复杂度分析	32	2
高级计量经济学（时间序列）	48	3
城市社会学	32	2
中级汉语（1）	64	4
数字信号处理（E）	32	2
水声信号处理	48	3
物联网安全	32	2
社交网络与舆情分析	32	2
软件工程与项目管理	48	3
操作系统	48	3
德语（1）	30	2
计算机取证技术	32	2
文化资源概论	32	2
中国古代文学批评史	32	2
光学原理	56	4
理论计算机科学导论	32	2
漏洞分析与挖掘	32	2
国际安全研究	32	2
密码学前沿	32	2
数学物理方程	64	4
智慧城市中的决策问题	64	4
广告理论与实务	32	2
普惠金融	32	2
发动机设计	48	3
专业研讨课（3）	32	1
当代国家理论	48	3
智慧城市能源系统智能控制	48	3
科学与艺术:材料科学与设计艺术	32	2
国际关系史	32	2
人工智能与设计	16	1
遗传学与社会	32	2
外国法制史	48	3
动漫与数字产业管理	32	2
传播心理学导论	36	2
无线组网技术	32	2
新闻与传播系列前沿讲座（高端讲座）	32	2
高级专业研修课	48	3
强基专业研讨III	32	2
影视制作实践：剧情短片	32	2
欧美文学经典	32	2
中国古代散文选读	32	2
场地设计	32	2
计算传播与社会	48	3
数字文化艺术理论	32	2
大众传媒管理	32	2
专业实习（文化产业管理）（2）	96	6
佛教与中国文学	32	2
粘性流体力学	48	3
海洋数值分析	48	3
传播伦理与法规	32	2
急救与自救	32	2
货币金融学	32	2
编程语言理论	32	2
创意写作（1）	64	4
商务汉语综合A（1）	64	4
调和分析	48	3
运动训练（5）	64	4
大学物理(A类）（2）	64	4
英语听说（1）	64	4
化工原理(下)	64	4
老庄元典选读	48	3
区块链技术及应用	32	2
西方古典文论	32	2
智慧能源及其应用	48	3
近世代数	48	3
政治的边界与逻辑	48	3
电视文艺编导	32	2
智能投研技术	32	2
医用化学实验	24	1.5
汉语口语交际（1）	64	4
人工智能前沿讲座	32	2
供应链金融	32	2
政治心理学	32	2
中国音乐概论	32	2
侵权法（B类）	32	2
泛函分析与偏微分方程	48	3
程序语言设计与实现	48	3
自动控制原理与应用	48	3
科技实习与创新－生物科学（2）	64	2
古希腊文明演绎	32	2
西方音乐文化史	32	2
信息素养与实践	32	2
国花、市花与文化	32	2
微生物的世界	32	2
系统设计与开发大型课程设计（数据智能）	48	3
智能信息系统建模	64	4
城市文明的历史与未来	48	3
佛教与中国传统文化	32	2
图形创意设计	32	2
材料美学	32	2
英语新闻阅读与写作	32	2
书法与中国美学	48	3
图与网络	48	3
公众表达	32	2
程序设计思想与方法	48	3
当代中国经典作家导读	32	2
《礼记》选读	32	2
台湾研究	32	2
建筑赏析	32	2
土与火的艺术：陶瓷赏析、工艺原理与制作实践	32	2
20世纪中国文学名著欣赏	32	2
生命科学发展史	32	2
材料与文明	32	2
法律思维与法学经典阅读	32	2
文化经纪实务	32	2
影视制作实践：摄影与灯光基础	32	2
工程材料导论	56	4
文化投资与管理	32	2
湍流	48	3
程序语言与编译原理	64	4
财务会计信息系统	32	2
艺术哲学	48	3
数字音乐制作	32	2
电子工程数理方法	48	3
现代汉语（2）	32	2
电力信息经济理论与实务	32	2
现代密码学(1)	32	2
哥伦布大交换与现代世界的形成	48	3
电力电子技术	32	2
算法导论	56	4
人工智能安全技术	32	2
高电压技术	32	2
西方哲学史	48	3
计算机病毒原理及实践	32	2
游戏哲学	32	2
秘宝寻材：宝藏中的材料科学	32	2
中国历史地理	32	2
世界文学经典的叙事模式与当代价值	32	2
神话与创意	32	2
现代中国文学与文化	32	2
古典诗词鉴赏与创作	48	3
C程序与算法分析	48	3
建筑构造（2）	32	2
英语学术论文写作（语言学）	32	2
法社会学	32	2
药物研发实验	128	4
生物化学（F类）	48	3
卓越管理与创新	32	2
计算方法（A类）	32	2
健美操	32	1
射艺	32	1
海洋观测调查实习	64	4
生物学实验2	96	3
天然药物实验1	48	1.5
电子电路系统实验	48	3
智慧能源	32	2
第三部门概论	48	3
产业调研报告	32	2
协同创新设计	96	6
生物信息学	32	2
专业实习（广播影视编导）	64	4
数理逻辑	48	3
电气工程前沿导论	32	2
船舶结构力学	48	3
船舶设计基础II	32	2
智能物联网	48	3
传播研究方法	32	2
有限元方法	32	2
影视艺术导论	32	2
剧本写作（二）	32	2
原子物理	32	2
量子计算机与量子密码	32	2
西方文论	32	2
中国文化概论A	64	4
船舶主机	32	2
经管实践调研	32	2
新闻编辑与评论	32	2
商务统计学	32	2
船舶设计-II	48	3
供应链ESG低碳管理与数字化创新	32	2
管理科学	48	3
船体振动	32	2
无线电能传输基础及应用	32	2
智能机舱	32	2
编译器课程设计	32	2
微机电技术基础	32	2
智能芯片与系统设计	48	3
泛在机器人技术与创新实践	48	3
微生物学	48	3
微生物学讨论课	16	1
虚拟体验设计	96	6
品牌形象设计	96	6
体育N（1）	32	2
芯片发电技术基础与应用	64	4
艺术与文化	32	2
国际传播与跨文化研究	32	2
