课程名称	学时	学分
面向创业者的应用程序开发	64	4
数据科学和python数据分析	64	4
微机电系统	48	3
体育（5）	16	1.0
表演艺术实践	32	2.0
专业实习（电气）	48	2
数值分析	45	3
汉语六（下）	30	2
德语（2）	30	2
中国研究导论	48	3
计算机视觉	64	4
计算机系统工具与操作	32	2
生产实习（材料）	64	2
造型艺术实践-油画	32	2.0
致远理科科研训练	64	4.0
专业实习（行政管理）	64	4
社会实习（传播学）（1）	48	3
生产实习	32	1
设计工坊与数字艺术实验	32	2.0
高等数学A2	60	4
高等数学B2	60	4
普通物理（1）	64	4
普通物理实验（1）	14	1
通过SDG助推低碳转型	16	1.0
学术英语写作	32	2
造型艺术实践—雕塑	32	2.0
创新设计实践（2）	32	2.0
数学分析与高等代数选讲	32	2.0
物理化学精讲	32	2.0
韩国文化与跨文化交流	48	3
材料机械性能（J类）	56	4
材料结构	64	4
材料试验II	45	3
数字通信信号与系统	56	4
社会实习（传播学）（2）	48	3
专业实习（文化产业管理）（1）	80	5
前沿探究-电磁学	16	1
强化物理（J类）（1）	56	4
羰基化合物的化学和重排反应	32	2
计算机系统综合课程设计	32	2
交通运输（国际航运）专业实习	64	4
光子学导论	56	4
全球视野中的中国历史	45	3
专业见习	32	1
应用回归分析与R语言	56	4
创意写作	45	3
高级科技写作与交流	28	2
大数据分析及工具	64	4
艺术史概论	64	4
汉语三（上）	30	2
中国文化概论	30	2
软件工程原理与实践	96	4
测量实习	32	1
信号与系统处理	56	4
逻辑设计导论	56	4
电磁学（J类）（1）	56	4
积极艺术治疗	32	2
晶体管特性	64	4
基于微处理器的系统设计	56	4
专业实习（化学（高分子））	32	1
专业实习（动物科学）	64	2
专业实习（生物工程专业）	64	2
监测实习	32	1
专业综合实践	32	2
专业实习(药学)	64	2
造型艺术实践—色彩与绘画	32	2.0
专业实习(食品科学与工程)	64	2
英文学术写作与交际	32	2.0
软件研发实践	96	3
英文写作（进阶班）	32	2
认知实习（生物工程专业）	32	1
科技实习与创新－生物信息学（1）	64	2
认识实习(临床药学)	64	2
初等微积分	16	0
大语言模型原理以及在医疗和经济中的应用	16	1
专业实习(英语)	48	3
思想政治课程精讲（暨“四史”导学）	32	2.0
可持续海洋环境智能检测	32	2.0
近代港埠城市管理	48	3.0
专业实习（临床药学）	64	2
绿色船舶和海洋可再生能源	32	2.0
大学物理（1）	64	4
实验一	56	4
实验二	56	4
系统设计与实现	56	4
中国戏曲导论：文本、表演、历史	32	2
专业实习（自动化）	32	2
全球健康与全健康	32	2
程序设计与数据结构-Ⅲ	32	2
数字化闻诊融通实验	32	1
生产实习（微电子）	48	3
专业实习（信工）	32	1
认识实习(药学)	32	1
新兴半导体器件及其可持续创新	32	2.0
食物系统与可持续发展	32	2.0
互联网法律与伦理	32	2.0
程序设计思想与方法基础	32	0
人工智能编程实践	32	2
电子信息专业引论	16	1
计算机编程实践	32	2
本科生科研项目	48	3
专业实习-视觉传达设计	32	2
工程概率方法	56	4
应对全球气候挑战：从中国到世界	32	2.0
生态恢复与可持续发展	32	2.0
聚合物材料	48	3
数据挖掘	60	4
汉语六（上）	30	2
创意美术实习	32	1
实验室实习	96	1
计算机架构	96	4
纳米科技导论	16	1
专业实习（生物技术）	64	2
专业实习（生物信息）	64	2
工程热力学（J类）（1）	42	3
科技实习与创新－生物技术（1）	64	2
专业实习（计算机）	32	2
古筝演奏实践	32	2.0
专业实习（日语）	96	6
德语专业实习	96	6
生物荧光光谱融通实验	32	1
生物学野外实习（B类）	32	1
科学研究与创新实践1	32	1.0
科学研究与创新实践2	32	1.0
科学潜水	16	1
专业实习（生物医学工程）	64	2
造型艺术实践-摄影	32	2.0
程序设计与数据结构	64	4
动力学与振动导论	56	4
数字集成电路	56	4
计算机组成件导论	56	4
科技写作与交流	14	1
线性代数	60	4
电路设计导论	56	4
设计与制造（3）	56	4
设计与制造（J类）（2）	56	4
动态系统建模分析与控制	56	4
电子电路	56	4
传热学（J类）	42	3
高端品牌创新实践与国际商务视野	64	2
集成电路设计（1）	56	4
密码学导论	60	4
建筑工程施工实习	64	2
地下工程施工实习	64	2
材料的电学、光学和磁学性能	48	3
汉语三（下）	30	2
德语（1）	30	2
控制系统分析与设计	42	3
产品设计与制造	64	4
数据驱动工程设计导论	45	3
随机控制及强化学习(研）	48	3
万物原理导论 	32	2
细胞加载力学模型融通实验	32	1
专业实习（暑期）	32	2
专业实习（化学工程与工艺）	64	2
前沿探究-热学	16	1
初等数论	32	2
前沿探究-力学	16	1
专业实习（信息安全）	32	2
高等数学精讲	32	2.0
绘画基础	32	2.0
流形上的微积分	32	2
信息安全科技创新	32	2
大学英语基础	16	0
造型艺术实践-AI艺术实验	32	2.0
专业实习（电科）	32	1
造型艺术实践-木刻版画	32	2.0
造型艺术实践—水彩	32	2.0
程序设计实践	32	2
